City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,saint-philippe,-21.3585,55.7679,295.92,85,40,3.45,RE,1690905351
147,hawaiian paradise park,19.5933,-154.9731,295.39,97,40,3.09,US,1690905464
148,luanda,-8.8368,13.2343,297.15,69,75,3.09,AO,1690905197
149,smithers,54.7804,-127.1743,282.33,93,75,1.54,CA,1690905465
150,cananea,30.95,-110.3,300.6,38,0,0.83,MX,1690905465
151,zhezqazghan,47.7833,67.7667,301.47,26,0,2.0,KZ,1690905465
152,tsetserleg,47.475,101.4542,288.05,88,87,1.46,MN,1690905465
153,dhidhdhoo,6.8833,73.1,301.64,73,100,6.08,MV,1690905466
154,talnakh,69.4865,88.3972,294.38,70,7,3.01,RU,1690905360
155,susuman,62.7833,148.1667,281.72,74,89,1.74,RU,1690905466
156,kodiak,57.79,-152.4072,284.88,87,0,0.0,US,1690905467
157,bilibino,68.0546,166.4372,278.0,90,23,0.55,RU,1690905359
158,ciudad del carmen,18.6333,-91.8333,302.17,79,40,4.63,MX,1690905467
159,blythe,33.6103,-114.5964,306.4,40,0,4.12,US,1690905467
160,saint-pierre,-21.3393,55.4781,295.97,78,0,5.14,RE,1690905370
161,chos malal,-37.3781,-70.2709,289.77,38,0,5.42,AR,1690905468
162,puerto ayora,-0.7393,-90.3518,300.13,89,70,1.79,EC,1690905468
163,libreville,0.3925,9.4537,299.16,78,40,2.57,GA,1690905468
164,birao,10.2849,22.7882,296.23,85,91,4.1,CF,1690905469
165,lata,40.1629,-8.3327,302.87,52,0,5.68,PT,1690905469
166,hazorasp,41.3194,61.0742,305.06,20,0,3.44,UZ,1690905470
167,hamilton,39.1834,-84.5333,300.37,54,0,3.09,US,1690905190
168,sodra sandby,56.5667,16.6167,293.09,80,100,5.4,SE,1690905471
169,ancud,-41.8697,-73.8203,282.21,70,98,7.12,CL,1690905471
170,port augusta,-32.5,137.7667,282.35,74,0,1.07,AU,1690905313
171,the dalles,45.5946,-121.1787,298.0,47,0,2.24,US,1690905472
172,cabedelo,-6.9811,-34.8339,301.52,73,37,5.74,BR,1690905472
173,hotan,37.0997,79.9269,303.32,19,3,4.14,CN,1690905350
174,lere,10.387,8.5726,297.61,82,100,2.69,NG,1690905472
175,thinadhoo,0.5333,72.9333,301.62,72,43,3.27,MV,1690905473
176,remire-montjoly,4.9167,-52.2667,303.17,66,20,3.6,GF,1690905372
177,pocone,-16.2567,-56.6228,310.64,15,0,2.59,BR,1690905473
178,mugia,43.1041,-9.2179,298.66,83,51,5.0,ES,1690905474
179,ain el bya,35.8039,-0.3018,311.31,34,0,5.91,DZ,1690905474
180,monte carmelo,-18.7247,-47.4986,302.08,28,0,1.74,BR,1690905474
181,cartagena,10.3997,-75.5144,303.94,79,20,1.54,CO,1690905444
182,weno,7.4515,151.8468,301.75,75,100,2.68,FM,1690905475
183,lebu,-37.6167,-73.65,285.84,81,69,0.43,CL,1690905475
184,kailua-kona,19.6406,-155.9956,299.13,84,100,3.09,US,1690905363
185,vernon,50.2581,-119.2691,294.78,38,0,0.51,CA,1690905476
186,new norfolk,-42.7826,147.0587,280.21,92,88,1.31,AU,1690905476
187,uturoa,-16.7333,-151.4333,299.5,73,97,8.58,PF,1690905476
188,tobelo,1.7284,128.0095,299.75,82,69,1.1,ID,1690905476
189,miles city,46.4083,-105.8406,300.69,41,0,4.63,US,1690905477
190,teknaf,20.8624,92.3058,300.17,91,85,7.58,BD,1690905477
191,tongliao,43.6125,122.2653,298.42,79,100,6.65,CN,1690905477
192,chibougamau,49.9168,-74.3659,285.94,62,100,3.09,CA,1690905441
193,lubao,14.9167,120.55,300.19,93,100,2.76,PH,1690905478
194,morehead city,34.7229,-76.726,303.16,73,40,4.63,US,1690905478
195,new plymouth,-39.0667,174.0833,284.71,93,84,12.27,NZ,1690905315
196,bonn,50.7333,7.1,295.08,70,20,8.23,DE,1690905197
197,kiunga,-6.1219,141.2906,295.93,98,93,2.0,PG,1690905479
198,mount gambier,-37.8333,140.7667,283.86,71,96,1.75,AU,1690905479
